doctype,section,topic,content
White Paper,Abstract,ACHIEVE COMPLETE AUTOMATION WITH ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,"As agile models become more prominent in software development, testing teams must shift from slow manual testing to automated validation models that accelerate the time to market. Currently, automation test suites are valid only for some releases, placing greater pressure on testing teams to revamp test suites, so they can keep pace with frequent change requests. To address these challenges, artificial intelligence and machine learning (AI/ML) are emerging as viable alternatives to traditional automation test suites. This paper examines the existing challenges of traditional testing automation. It also discusses five use-cases and solutions to explain how AI/ML can resolve these challenges while providing complete and intelligent automation with little or no human intervention, enabling testing teams to become truly agile."
White Paper,Introduction,ACHIEVE COMPLETE AUTOMATION WITH ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,"Industry reports reveal that many enterprise initiatives aiming to completely automate quality assurance (QA) fail due to various reasons resulting in low motivation to adopt automation. It is, in fact, the challenges involved in automating QA that have prevented its evolution into a complete automation model. Despite the challenges, automation continues to be a popular initiative in today's digital world. Testing communities agree that a majority of validation processes are repetitive. While traditional automation typically checks whether things work as they are supposed to, the advent of new technologies like artificial intelligence and machine learning (AI/ML) can support the evolution of QA into a completely automated model that requires minimal or no human intervention."
White Paper,Main Content,ACHIEVE COMPLETE AUTOMATION WITH ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,"Pain points of Complete Automation Introduction Let us look at the most pertinent problems that lead to low automation statistics: ' Frequent requirement changes ' While most applications are fluid and revised constantly, the corresponding automation test suite is not. Keeping up with changing requirements manually impedes complete automation. Moreover, maintaining automated test suites becomes increasingly complicated over time, particularly if there are frequent changes in the application under test (AUT) ' Mere scripting is not automation ' Testing teams must evolve beyond traditional test automation that involves frequent manual script-writing. ' Inability to utilize reusable assets ' It is possible to identify reusable components only after a few iterations of test release cycles. However, modularizing these in a manner that can be reused everywhere is a grueling task. ' Talent scarcity ' Finding software development engineers in test (SDETs) with the right mix of technical skills and QA mindset is a significant challenge QA teams today are looking for alternatives to the current slow and manual process of creating test scripts using existing methodologies. It is evident that intelligent automation (automation leveraging AI/ML) is the need of the hour. How can enterprises achieve complete automation in testing? Use cases and solutions for intelligent test automation The key to achieving complete automation lies in using AI/ML as an automation lever instead of relegating it to scripting. Optimizing manual test cases using AI/ML is a good start. Helping the application selflearn and identify test suites with reusable Use case 1: Optimizing a manual test suite Testing teams typically have a large set of manual test cases for regression testing, which are written by many people over a period of time. Consequently, this leads to overlapping cases. This increases the burden on automation experts when creating the automation test suite. Moreover, as the test case suite grows larger, it becomes difficult to find unique test cases, leading to increased execution effort and cost. Solution 1: Use a clustering approach to reduce effort and duplication A clustering approach can be used to group similar manual test cases. This helps teams easily recognize identical test cases, thereby reducing the size of the regression suite without the risk of missed coverage. During automation, only the most optimized test cases are considered, with significant effort reduction and eliminating duplicates. Use case 2: Converting manual test cases into automated test scripts Test cases are recorded or written manually in different formats based on the software test lifecycle (STLC) model, which can be either agile or waterfall. Sometimes, testers can record audio test cases instead of typing those out. They also use browserbased recorders to capture screen actions while testing. Solution 2: Use natural language processing (NLP) In the above use case, the execution steps and scenarios are clearly defined, assets can be more advanced utilities for automated test suite creation. Leveraging AI in test suite automation falls into two main categories ' 'automation test suite creation using various inputs' after which the tester interprets the test cases, designs an automation framework and writes automation scripts. This entire process consumes an enormous amount of time and effort. With natural language processing (NLP) and pattern identification, manual test cases can be transformed into ready-to-execute automation scripts and, furthermore, reusable business process components can be easily identified. This occurs in three simple steps: ' Read ' Using NLP to convert text into the automation suite. ' Review ' Reviewing the automation suite generated. ' Reuse ' Using partially supervised ML techniques and pattern discovery algorithms to identify and modularize reusable components that can be plugged in anywhere, anytime and for any relevant scenario. and 'automation test suite repository maintenance'. The following section discusses various use cases for intelligent automation solutions under these two categories which address the challenges of end-to-end automation. All these steps can be implemented in a tool-agnostic manner until the penultimate stage. Testers can review the steps and add data and verification points that are learnt by the system. Eventually, these steps and verification points are used to generate automation scripts for the tool chosen by the test engineer (Selenium, UFT or Protractor) only at the final step. In this use case, AI/ML along with a toolagnostic framework helps automatically identify tool-agnostic automation steps and reusable business process components (BPCs). The automation test suite thus created is well-structured with easy maintainability, reusability and traceability for all components. The solution slashes the planning and scripting effort when compared to traditional mechanisms. Use case 3: Achieving intelligent DevOps Software projects following the DevOps model usually have a continuous integration (CI) pipeline. This is often enabled with auto-deploy options, test data and API logs with their respective requests-response data or application logs from the DevOps environment. While unit tests are available by default, building integration test cases requires additional effort. Solution 3: Use AI/ML in DevOps automation By leveraging AI/ML, DevOps systems gain analytics capabilities (becoming 'intelligent DevOps') in addition to transforming manual cases to automated scripts. Fig 1: Achieving complete automation on a DevOps model with AI/ML AI Components Optimized Test Cases Automated Unit Tests Virtual Service / Component Test Cases Functional Test Scenarios SMART DIAGNOSTIC ANALYTICS Recovery Techniques Test Reports / Defect Logs Application Logs Test Reports / Defect Logs Request -Response Data / Test Data Develop Test Deploy Application Code Code Quality report Continuous Testing Test Automation in DevOps ' Quality at every step As shown in Fig 1, the key steps for automating a DevOps model are: ' Create virtual service tests based on request-response data logs that can auto update/self-heal based on changes in the AUT. ' Continuously use diagnostic analytics to mine massive data generated to proactively identify failures in infrastructure/code and suggest recovery techniques. ' Leverage the ability to analyze report files and identify failure causes/ sequences or reusable business process components through pattern recognition. ' Enable automated script generation in the tool-of-choice using a tool-agnostic library. ' Analyze past data and patterns to dynamically decide what tests must be run for different teams and products for subsequent application builds. ' Correlate production log data with past code change data to determine the risk levels of failure in different application modules, thereby optimizing the DevOps process. External Document ' 2020 Infosys Limited Fig 2: How reinforcement algorithms in testing identify critical flows in an application B. Automation test suite maintenance Use case 4: Identifying the most critical paths in an AUT When faced with short regression cycles or ad hoc testing requests, QA teams are expected to cover only the most important scenarios. They rely on system knowledge or instinct to identify critical scenarios, which is neither logical nor prudent from a test coverage perspective. Thus, the inability to logically and accurately identify important test scenarios from the automation test suite is a major challenge, especially when short timelines are involved. Solution 4: Use deep learning to determine critical application flows If the AUT is ready for validation (even when no test cases are available in any form), a tester can use a reinforcement learning-based system to identify the critical paths in an AUT. Use case 5: Reworking the test regression suite due to frequent changes in AUT If a testing team conducts only selective updates and does not update the automation test suite completely, then the whole regression suite becomes unwieldly. An AI-based solution to maintain the automation and regression test suite is useful in the face of ambiguous requirements, frequent changes in AUTs The five use cases and solutions discussed above can be readily implemented to immediately enhance an enterprise's test suite automation process, no matter their stage of test maturity. and short testing cycles, all of which leave little scope for timely test suite updates. Solution 5: Deploy a self-healing solution for easier test suite maintenance Maintaining the automation test suite to keep up with changing requirements, releases and application modifications requires substantial effort and time. A self-healing/self-adjusting automation test suite maintenance solution follows a series of steps to address this challenge. These steps are identifying changes between releases in an AUT, assessing impact, automatically updating test scripts, and publishing regular reports. As shown in Fig 3, such a solution can identify changes in an AUT for the current release, pinpoint the impacted test scripts and recommend changes to be implemented in the automation test suite."
White Paper,Conclusion,ACHIEVE COMPLETE AUTOMATION WITH ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,"Complete automation, i.e., an end-to-end test automation solution that requires minimal or no human intervention, is the goal of QA organizations. To do this, QA teams should stop viewing automation test suites as static entities and start considering these as dynamic ones with a constant influx of changes and design solutions. New technologies like AI/ML can help QA organizations adopt endto-end automation models. For instance, AI can drive core testing whether this involves maintaining test scripts, creating automation test suites, optimizing test cases, or converting test cases to automated ones. AI can also help identify components for reusability and self-healing when required, thereby slashing cost, time and effort. As agile and DevOps become a mandate for software development, QA teams must move beyond manual testing and traditional automation strategies towards AI/ML-based testing in order to proactively improve software quality and support self-healing test automation."
White Paper,Introduction,RPA: The future of enterprise test automation,"If one word defines the 21st century, it would be speed. Never before has progress happened at such a breakneck pace. We have moved from discrete jumps of innovation to continuous improvement and versioning. The cycle time to production is at an all-time low. In this era of constant innovation where the supreme need is to stay ahead of the competition and drive exceptional user experiences, product quality deployed in production is paramount to ensure that speed does not derail the product as a whole. A robust testing mechanism ensures quality while allowing faster release and shorter time to market ' so essential for that competitive edge. Today, USD 550bn is spent on testing and validation annually. It is also the second largest IT community in the world. That is a significant investment and effort being put into this space already, but is it delivering results?"
White Paper,Main Content,RPA: The future of enterprise test automation,"In the past five or so years, there has been a push from CXOs, based on recommendations from industry experts and analysts, to go for extreme automation. Companies have been adopting multiple tools, opensource technologies, and building enterprise automation frameworks. This attempt to achieve end-to-end automation has created a mammoth network of tool sets in the organization that may or may not work well with each other. This is how test automation was done conventionally; it still requires elaborate effort to build test scripts, significant recurring investment for subscription and licensing, and training and knowhow for multiple tools. By some estimates, traditional testing can take up to 40% of total development time ' that is untenable in the agile and DevOps modes companies operate in today. What if this ongoing effort can be eliminated? What if the need for multiple tools can be done away with? Enter Robotic Process Automation (RPA) in testing. While originally not built for testing, RPA tools show great potential to make testing more productive, more efficient, and help get more features to the market faster ' giving them an edge over conventional tools (see Fig 1). The state of testing and validation in the enterprise Product features Traditional automation tools RPA Tools Coding Knowledge ' Coding knowledge is essential to develop automated scripts ' Programming knowledge and effort is needed to build the framework, generic reusable utilities and libraries ' These tools offer codeless automation. Developing automated scripts requires some effort for configuration and workflow design. However, coding is minimal compared to traditional tools ' Generic reusable utilities are available as plug-and-play components Maintenance Extensive maintenance effort required Minimal test maintenance effort required Cognitive automation No support for cognitive automation RPA tools are popular for supporting cognitive automation by leveraging AI Plugin support Limited plugins are available for different technologies Plugins are available for all leading technologies Orchestration and load distribution Load distribution during execution requires additional effort to develop the utilities and set up the infrastructure This feature is available in most RPA tools. For example, feature of a popular RPA tool helps in load distribution during execution without any additional effort aside from configuration Automation development Productivity Test development productivity is low since custom coding is required most of the time Test development productivity is high as most generic activities are available as plug-and-play OCR for text recognition This feature is not available This feature is available in all RPA tools Advanced image recognition This feature is not available. Either additional scripting or a third-party tool is needed to support this This feature is available in all RPA tools In-built screen and data scarping wizards This feature is not available and requires integration with other tools This feature is available in all RPA tools Fig. 1: Traditional automation tools vs. RPA External Document ' 2020 Infosys Limited External Document ' 2018 Infosys Limited RPA ' the next natural evolution of testing automation In the last decade, automation has evolved and matured with time along with changing technologies. As discussed, automation in testing is not new but its effectiveness has been a challenge ' especially the associated expense and lack of skill sets. RPA can cut through the maze of tool sets within an enterprise, replacing them with a single tool that can talk to heterogenous technology environments. From writing stubs to record and playback, to modular and scriptless testing, and now to bots, we are witnessing a natural evolution of test automation. In this 6th Gen testing brought about by RPA orchestration, an army of bots will drastically change the time, effort, and energy required for testing and validation. We are heading towards test automation that requires no script, no touch, works across heterogenous platforms, creates extreme automation, and allows integration with opensource and other tools. According to Forrester', 'RPA brings production environment strengths to the table.' This translates into production level governance, a wide variety of use cases, and orchestration of complex processes via layers of automation. RPA allows companies to democratize automation very rapidly within the testing organization. RPA has an advantage over traditional tools in that it can be deployed where they fail to deliver results (see Fig 2). For instance, when: ' the testing landscape is heterogenous with complex data flows ' there is a need for attended and unattended process validation ' there is a need to validate digital system needs An RPA solution can bring in a tremendous amount of simplicity for building out bots quickly and deploying them with the least amount of technical know-how and skills that even business stakeholders can understand. Challenge Areas Performance of RPA tools Test Data Management Data-driven testing is supported by many traditional tools. RPA can manage data form files like Excel/JSON/XML/DB and use these for testing Testing in different environments End-to-end business processes navigate through various environments like mainframe/web/DB/client server applications. RPA tools can easily integrate this process across multiple systems. Thus, RPA tools simplify business orchestration and end-to-end testing compared to other testing tools Traceability While RPA tools do not directly provide test script traceability, there are methods to enable this functionality. For instance, user stories/requirements stored in JIRA can be integrated with RPA automation scripts using Excel mappings to create a wrapper that triggers execution Script versioning A batch process can be implemented in the RPA tool to address this CI-CD integration This is available in most of the RPA Tools Reporting and defect logging RFA tools have comprehensive dashboards that showcase defects that can be logged in Excel or JIRA through a suitable wrapper Error handling This feature is available in all RPA tools. AssistEdge for Testing in Action One of our clients, a large investment company based in Singapore realized the benefits of RPA based testing when it helped them save 60% of testing efforts. They were running legacy modernization as a program using mainframe systems that are notoriously difficult to automate using traditional automation tools. RPA with its AI and OCR capabilities and the ability to traverse through and handle any technology, was easily able to automate 800+ test cases in the mainframe. In another instance, a large banking client was using package-based applications that used multiple technologies to build different screens. It becomes difficult to integrate multiple tools in this scenario. With RPA, we were able to automate the end-to-end workflow for each application using just one tool. This helped reduce the overall maintenance effort by over 30%. Another one of our clients was facing a quality assurance (QA) challenge where bots were being deployed without testing. We developed specific QA bots with added exceptional handlers to check whether the bot is actually handling exceptions and if it fails then how it comes back to the original state. By validating the bots, we improved the overall efficiency by 30%."
White Paper,Conclusion,RPA: The future of enterprise test automation,"Take advantage of the Edge The COVID-19 pandemic has accelerated the organizations' need to be hyperproductive. Companies are realizing that they have to transform to build the capabilities that will prepare them for the future. Companies are thinking of ways to drive efficiency and effectiveness to a level not seen before. There is a strong push for automation to play a central role in making that happen. This is also reflected in the testing domain, where any opportunity for improvement will be welcome. Realizing the need to drive testing efficiencies and reduce manual effort, organizations want to adopt RPA in testing. We are at a tipping point where the benefits of RPA adoption are clear, what is needed is that first step towards replacing existing frameworks. Recognizing the potential of RPA in testing, EdgeVerve and Infosys Validation Solutions (IVS) have been helping clients simplify and scale up test automation with AssistEdge for testing. AssistEdge brings the experience of handling tens of thousands of processes with different technologies and environment systems to test automation, helping navigate heterogenous environments with ease. By building an army of bots for functional, regression, and user acceptance testing, it can help achieve 100% test automation with incredible accuracy. In addition to being faster to build and deploy, AssistEdge reduces the overall time to value and also the investment needed for deploying and managing RPA infrastructure. Infosys Validation Solutions' (IVS) engineering-led QA capabilities enable enterprises to effortlessly scale up testing in real-time, delivering unprecedented accuracy, flexibility, and speed to market. With its vast experience, IVS enables clients across industry verticals to successfully implement an automated testing strategy, allowing them to move away from tedious and error prone manual testing, thereby improving performance and software quality while simultaneously resulting in effort- and cost-savings. The journey to RPA-based test automation has to be implemented. And those that adopt faster will hold a competitive advantage in faster realization of benefits. The question is, are you willing to take the leap? Want to know more about the potential of RPA in testing? Write to us at askus@infosys.com. About AssistEdge AssistEdge offers a cohesive automation platform that enables enterprises to scale in their automation journey. It offers enterprises with a comprehensive suite of products enabling them to drive initiatives around process discovery, intelligent automation and digital workforce orchestration. AssistEdge has helped enterprises unlock value in the form of reduced service time, faster sales cycles, better resource allocation, accelerated revenue recognition and improved efficiency among others."
White Paper,Abstract,RPA VALIDATION PITFALLS AND HOW TO AVOID THEM,"While many organizations are adopting robotic process automation (RPA) to increase operational efficiency, the approach for testing and validating robots is still a software-first strategy. The lack of the right testing and validation strategy can result in under-performing robots that are unable to meet the desired business and efficiency outcomes. This paper outlines erroneous RPA testing strategies and provides an effective approach to RPA validation."
White Paper,Introduction,RPA VALIDATION PITFALLS AND HOW TO AVOID THEM,"To execute any business operation or workflow in large enterprises, services personnel or business teams usually work with multiple IT applications. Robotic process automation (RPA) can automate these business workflows across multiple and disparate applications using software robots that mimic the actions of human users as depicted below: The increased adoption and criticality of RPA for business process automation makes it essential to design and build RPA robots that exceed the level of productivity and quality delivered by human users. However, many RPA robots tend to underperform due to poor design and improper implementation in addition to workload scheduling decisions. Further, QA teams struggle to identify these issues during robot validation primarily due to recurring test strategy and test execution challenges as described below: What to test How to test Where to test Focus on validating IT application functionality: Since business process automation is always implemented on applications used by the business, it is fair to assume that these applications are tested and work properly in production. However, QA teams continue to invest significant effort to validate application behavior like querying the database to verify data updates, checking error messages in case of negative scenarios, etc. Missing non-functional requirements driven by the operating environment: Sometimes, validation teams miss out on capturing and validating operating environment requirements like business SLAs, process execution window and dependent activities. Validation of robots as software: One of the most striking challenge is that validation teams treat robotic process testing as software validation. Their approach focuses on test steps automation, validation of the Robot inputs with database and re-verification of steps performed by Robots. While some of these validation steps are relevant, teams tend to miss the key validations required for seamless and predictable functioning of RPA robots. Automating RPA testing: There are many instances where efforts are made to automate RPA testing using test automation tools without much clarity on what needs to be automated when RPA itself works in an automated manner. Validation in incorrect environments: Many QA teams begin validating RPA robots in SIT and other lower environments where the application baseline is usually not in sync with the production environment. This asynchrony results in robots failing to perform in the production environment during the first few runs."
White Paper,Main Content,RPA VALIDATION PITFALLS AND HOW TO AVOID THEM,"A successful example of robot validation A good example for RPA validation can be gleaned from the manufacturing industry that has successfully deployed physical robots over many years with a very high level of quality and predictability. On comparing how physical robots are tested with how RPA robots should be tested, the following key testing attributes emerge: 1. The robot's ability to perform as per the instructions 2. The robot's ability to perform tasks autonomously 3. The robot's ability to perform at higher efficiency 4. The robot's ability to handle exceptions gracefully A recommended approach for RPA validation Combining the knowledge of software validation with the processes followed by the manufacturing industry for robot validation provides a fitting approach for RPA validation that overcomes the testing challenges mentioned above: What to test How to test Where to test Validation scenarios: Since robots are designed to mimic business workflows, companies can re-use/create test cases similar to UAT test cases for RPA validation. The focus should be on validating business flows and business exceptions rather than application functionality Non-functional requirements validation in the operating environment: Teams should capture non-functional requirements like the ability to operate autonomously, SLA delivery efficiency and expected volume to be processed within preset timeframes Functional validation of robots: Validation teams should set up the input case data for all business cases within the determined scope and then begin robot processing. They should also validate the outcomes and re-runs in cases of errors/unexpected outcomes Exception scenarios: Teams should set up the inputs case data with exception scenarios and validate the robot's ability to identify and report these exceptions for human intervention. They should also re-run and validate these tests in case of errors/unexpected outcomes UAT or higher environments: QA teams should perform validation of RPA only in UAT or higher environments to prevent issues arising from incorrect application versions or environment set-up Stabilization in production: Teams should train robots with simple cases and at low volume during initial runs and gradually increase complexity and volume to ensure minimal impact in case of any processing mismatch. Skill recommendations RPA validation teams should have a deep understanding of business processes across regular and exception workflows to ensure that robots are tested for all possible business scenarios. Additionally, the teams should be well aware about the scheduling mechanism and controller team operating model of the RPA robots so that they can validate the operational efficiencies of RPA robots before deployment into production. Each RPA validation team should also leverage a shared team of experts who have in-depth knowledge of object design and error handling mechanisms. This is important to maintain focus on the performance tuning of robots to meet the operational efficiency requirements. As the RPA ecosystem continues to evolve, one can expect more complex robot implementations with optical character recognition (OCR) and natural language processing (NLP) inputs as well as AI integrations. Moreover, robots will increasingly compete for shared resources like server time and application access to complete the business processes. In such a scenario, RPA validation teams should continue acquiring in-depth knowledge on evolving validation needs and improve the strategies to support these complex business requirements. Exit criteria Before a robot is deployed into production, it is important to check that it has been validated to exceed the business benchmarks and is predictable. Here are some key parameters that should be considered as the exit criteria for robots before they are deployed into live production: ' The adherence to business SLAs should be higher than that of manual processing SLAs ' The number of business processing exceptions should be equal to or less than the number of manual processing exceptions ' The total number of cases processed without human intervention should be equal to or greater than 95% of the inscope cases ' Robot availability should exceed 98% Typically, robots meeting these criteria are well-placed to take over business processing responsibilities from human users and are proven to deliver the desired business benefits."
